"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6202","test_sort","","Sun Mar 09 17:15:42 MSK 2025","passed","Sun Mar 09 17:15:49 MSK 2025","","","",""
"","5704","test_sections","tests.test_settings","Sun Mar 09 17:15:20 MSK 2025","passed","Sun Mar 09 17:15:25 MSK 2025","","test_vocabulary","",""
"","6095","test_title","tests.test_settings","Sun Mar 09 17:15:13 MSK 2025","passed","Sun Mar 09 17:15:19 MSK 2025","","test_vocabulary","",""
"","3274","test_title","","Sun Mar 09 17:17:01 MSK 2025","passed","Sun Mar 09 17:17:05 MSK 2025","","","",""
"","16020","test_search_field_for_words","tests.test_settings","Sun Mar 09 17:15:26 MSK 2025","passed","Sun Mar 09 17:15:42 MSK 2025","","test_vocabulary","",""
